concept_code,omop_id,omop_name
HP:0005240,4224926,Obstruction of esophagus
HP:0000598,4166587,Congenital malformation of ear
HP:0000490,436986,Enophthalmos
HP:0031923,4095112,Retained menstruation
HP:0032191,4035415,Tear of meniscus of knee
HP:0012587,75004,Frank hematuria
HP:0030169,4237824,Gastric varices
HP:0005432,4230184,Transient hypogammaglobulinemia of infancy
HP:0001137,381031,Alternating esotropia
HP:0000717,439780,Autistic disorder
HP:0008288,4035269,Non-ketotic hyperglycinemia
HP:0031777,381871,Cyclophoria
HP:0030043,4138156,Subluxation of hip joint
HP:0006562,4291005,Viral hepatitis
HP:0012531,4329041,Pain
HP:0001671,318549,Cardiac septal defects
HP:0001671,4245646,Congenital septal defect of heart
HP:0002013,441408,Vomiting
HP:0001586,4232162,Vesicovaginal fistula
HP:0001090,4246469,Macrophthalmos
HP:0031864,132736,Bacteremia
HP:0100588,4028998,Paraphimosis
HP:0100842,4328365,Septo-optic dysplasia sequence
HP:0000787,4148260,Calculus of kidney and ureter
HP:0033135,194417,Hepatic infarction
HP:0001733,4192640,Pancreatitis
HP:0100600,201954,Congenital penoscrotal transposition
HP:0031826,378256,Abnormal reflex
HP:0033511,440069,Drug dependence
HP:0007302,436665,Bipolar disorder
HP:0007302,443906,Mixed bipolar I disorder
HP:0000011,199075,Neurogenic bladder
HP:0001681,321318,Angina pectoris
HP:0010739,78854,Osteopoikilosis
HP:0001370,80809,Rheumatoid arthritis
HP:0025497,4127089,Coronary artery spasm
HP:0100519,4090272,Anuria
HP:0000528,434143,Anophthalmos
HP:0001061,141095,Acne
HP:0001061,138826,Acne varioliformis
HP:0000846,4035127,Hypoadrenalism
HP:0000846,435508,Adrenal cortical hypofunction
HP:0005973,432873,Hereditary fructosuria
HP:0032860,381842,Petit mal status
HP:0011713,316998,Left bundle branch block
HP:0007651,4317982,Lower eyelid ectropion
HP:0006685,439399,Endomyocardial fibrosis
HP:0006685,4162674,Restrictive cardiomyopathy with endomyocardial fibrosis
HP:0003125,434007,Hereditary factor VIII deficiency disease
HP:0100539,4030977,Cellulitis of periorbital region
HP:0100336,4127128,Bilateral cleft lip
HP:0002779,4316227,Congenital tracheomalacia
HP:0034057,4079975,Congenital malformation
HP:0001409,192680,Portal hypertension
HP:0009916,434374,Anisocoria
HP:0002654,434161,Multiple epiphyseal dysplasia
HP:0000464,25056,Congenital anomaly of neck
HP:0002829,77074,Joint pain
HP:0000090,197656,Medullary cystic disease of the kidney
HP:0007957,378752,Corneal opacity
HP:0007406,440112,Hyperpigmentation of eyelid
HP:0001655,4070299,Patent foramen ovale
HP:0002301,374336,Infantile hemiplegia
HP:0002301,374022,Hemiplegia
HP:0032072,4347174,Synovial cyst of knee
HP:0002245,441394,Meckel's diverticulum
HP:0000083,192359,Renal failure syndrome
HP:0000083,36716945,Renal insufficiency
HP:0000588,4196227,Congenital coloboma of optic disc
HP:0012209,40482847,Juvenile myelomonocytic leukemia
HP:0000891,79144,Cervical rib
HP:0000592,4069806,Abnormal blue sclerae
HP:0007354,373182,Amyotrophic lateral sclerosis
HP:0003187,76467,Congenital hypoplasia of breast
HP:0000518,375545,Cataract
HP:0030072,4054513,Neoplasm of accessory sinus
HP:0001085,4308632,Optic disc edema
HP:0410263,40484908,Imaging of brain abnormal
HP:0025610,4265749,Meibomian gland dysfunction
HP:0000545,379805,Myopia
HP:0031717,377561,Alternating exotropia
HP:0003040,4180167,Infectious disorder of joint
HP:0003040,76777,Arthropathy associated with infection
HP:0003040,73553,Arthropathy
HP:0002085,4173142,Occipital encephalocele
HP:0011970,4045749,Cerebral amyloid angiopathy
HP:0001737,4151134,Cyst of pancreas
HP:0003067,434157,Madelung's deformity
HP:0025271,134681,Diffuse spasm of esophagus
HP:0000131,197236,Uterine leiomyoma
HP:0004935,4031766,Congenital atresia of pulmonary artery
HP:0000952,137977,Jaundice
HP:0002092,4013643,Pulmonary arterial hypertension
HP:0030004,442113,Cicatricial lagophthalmos
HP:0003307,73012,Lordosis deformity of spine
HP:0031950,4025168,Diffuse interstitial pulmonary fibrosis
HP:0031950,45763750,Idiopathic pulmonary fibrosis
HP:0004411,377910,Deviated nasal septum
HP:0000400,442641,Macrotia
HP:0041047,433813,Bladder neck obstruction
HP:0030159,4280498,Polyp of cervix
HP:0000786,40318194,Primary amenorrhea
HP:0010522,434012,Developmental dyslexia
HP:0010522,433759,Developmental reading disorder
HP:0100257,77984,Congenital cleft hand
HP:0006918,376970,Schilder's disease
HP:0012151,4135466,Hemothorax
HP:0010957,4113455,Congenital posterior urethral valves
HP:0000639,378165,Nystagmus
HP:0000552,442275,Tritan defect
HP:0033243,4324261,Pulmonary necrosis
HP:0012063,74737,Aneurysmal bone cyst
HP:0003565,4013526,ESR raised
HP:4000067,196433,Aneurysm of iliac artery
HP:0003741,78149,Congenital hereditary muscular dystrophy
HP:0005881,4345332,Spinal instability
HP:0030149,198571,Cardiogenic shock
HP:0003193,257007,Allergic rhinitis
HP:0100746,76800,Macrodactylia of fingers
HP:0008227,4232833,Pituitary thyroid hormone resistance
HP:0100495,439412,Mast cell disorder
HP:0000953,4172432,Hyperpigmentation of skin
HP:0008011,373479,Peripheral opacity of cornea
HP:0000958,4039266,Dry skin
HP:0000651,373474,Diplopia
HP:0002558,4176400,Accessory nipple
HP:0001025,139900,Urticaria
HP:0002617,443784,Vascular disorder
HP:0002617,4332246,Aneurysm
HP:0004754,4141360,Chronic atrial fibrillation
HP:0004754,4232691,Permanent atrial fibrillation
HP:0100668,4242694,Congenital duplication of intestine
HP:0007803,374936,Achromatopsia
HP:0002480,4029488,Hepatic encephalopathy
HP:0012541,4047852,Cephalhematoma due to birth trauma
HP:0001888,441541,Lymphocytopenia
HP:0011079,4123726,Impacted tooth
HP:0000871,30365,Panhypopituitarism
HP:0001256,432612,Mild intellectual disability
HP:0030154,196469,Perforation of gallbladder
HP:0410005,40492466,Cleft of hard palate
HP:0025253,4058397,Claustrophobia
HP:0012039,438759,Descemet's membrane fold
HP:0002143,135526,Spinal cord disease
HP:0003250,4337688,Congenital absence of vagina
HP:0000943,4276347,"Mucopolysaccharidosis, MPS-I-H"
HP:0010296,436812,Tongue tie
HP:0030752,434951,Lacrimal mucocele
HP:0011141,381295,Senile cataract
HP:0500001,4276354,Bromhidrosis
HP:0000820,141253,Disorder of thyroid gland
HP:0011611,433860,Interrupted aortic arch
HP:0032192,439083,"Hydatidiform mole, benign"
HP:0031009,136912,Ainhum
HP:0000971,441655,Disorder of sweat gland
HP:0025313,380109,Exophoria
HP:0004415,4317288,Pulmonary artery stenosis
HP:0007430,4155910,"Edema, generalized"
HP:0100661,379801,Trigeminal neuralgia
HP:0012803,375547,Anisometropia
HP:0001948,438730,Alkalosis
HP:0000015,195864,Diverticulum of bladder
HP:0100774,4069318,Hypertrophy of bone
HP:0007769,437267,Peripheral retinal degeneration
HP:0041155,4138294,Fracture of mandible
HP:0002093,318459,Respiratory insufficiency
HP:0012420,441959,Amniotic fluid -meconium stain
HP:0550005,255304,Lung disease with systemic sclerosis
HP:0005264,4175814,Congenital anomaly of gallbladder
HP:0025586,375275,Hypertropia
HP:0008513,433495,"Conductive hearing loss, bilateral"
HP:0000843,133729,Hyperparathyroidism
HP:0006640,4128914,Fracture of multiple ribs
HP:0012317,4208390,Inflammation of sacroiliac joint
HP:0000410,379832,Mixed conductive AND sensorineural hearing loss
HP:0100628,4005764,Congenital diverticulum of esophagus
HP:0004845,135768,Acute monocytic leukemia
HP:0002045,435371,Hypothermia
HP:0032301,198075,Condyloma acuminatum of the anogenital region
HP:0032301,4148102,Genital warts
